"filename", "language", "C", "comment", "blank", "total"
"/Users/mheinke/Desktop/so_long_error/sources/user_input/input_hooks.c", "C", -16, -11, -4, -31
"/Users/mheinke/Desktop/so_long_error/sources/user_input/key_input.c", "C", -26, -11, -4, -41
"/Users/mheinke/Desktop/so_long_error/sources/user_input/mouse_input.c", "C", -13, -11, -3, -27
"/Users/mheinke/Desktop/so_long_error/sources/utils/delta_time.c", "C", -29, -11, -7, -47
"/Users/mheinke/Desktop/so_long_error/sources/utils/error_handling.c", "C", -7, -11, -4, -22
"/Users/mheinke/Desktop/so_long_error/sources/utils/musicplayer.c", "C", -41, -11, -10, -62
"/Users/mheinke/Desktop/so_long_error/sources/utils/render.c", "C", -8, -70, -16, -94
"/Users/mheinke/Desktop/so_long_error/sources/utils/statemachine.c", "C", -13, -11, -4, -28
"/Users/mheinke/Desktop/so_long_error/sources/utils/window_changer.c", "C", -40, -11, -5, -56
"Total", "-", 349, -90, 23, 282
